dialog_id,participant_index,is_bot
dae9e2dae9f840549764f8d9bbbb80f0,0,0
159da0d7937c4c1e84a51f0df7e3ade6,0,0
1aed86f082234446951360d00979f0d9,0,0
ab3dbd121828403ba30d0ed4008fbea4,0,0
08ce7e4224cc411ba629f1983eba031f,0,1
227d224441894d27ac78ac0be4e4b33d,0,0
263d0d3983c748b899a1f53fcaddc92f,0,1
0a9c2686a58a42518d336f31335bca25,0,0
6f2f2b1288de41a58d79acb9d096a77d,0,1
77ef63fc15ae4684b7e00e1aeae5b3d5,0,0
ea6591f078224c2cbdbcd0f874f0a788,0,0
957768088746497f89f81d3d9f28baff,0,1
e43136444948418fb410019e49dc66b1,0,0
39283fbdf1954537ab42631b37a4a994,0,0
14bee06d521146c4bd5ad4f644b27a35,0,0
6500e29221d14bb88b5f407d2d7e1848,0,0
a86175f0b89b4152a1202f7a8b6923c1,0,0
6c22fc117ca444aa9937796444071dfd,0,0
93af5a6ff6d24152b0809a70e4c2f0d0,0,0
dd398bd8372042cfba6403d521acba86,0,0
937b88e236fc4457addce2400f8e8759,0,0
7043f31bee4c4c5d893d134b484ac507,0,1
0c99595c452e4c78ae3adef135e0904b,0,0
6ae8e2ed7d49425eae9e20b823c5c614,0,1
0e60b18c7f444cd08bd8a57f85704a7d,0,1
1186d5905f284bda906d026a9759fc87,0,0
48fc10f47d93434fad3ce033c3c04f79,0,0
2d6196fbbb0e49c89544730970ab9b77,0,1
38aff9984e484dd2adff4a559cf07d2c,0,1
2aaa6b764dcf4429a8f547af7ca2aece,0,1
cd9fec086c3c48bfbccafec68d4e25e1,0,0
751218014b6b44428d3a864e6aeb5e14,0,0
018d5cd0f84b43f6a1ce28a0fc525ba4,0,0
d6c2182f6f84478584ebb7e05e2f4db4,0,0
abbed926f57c42088343bd412875fe53,0,0
8fbb30b76bd94db1bb6562f21fb3e36a,0,0
b8b2bcd348684c6d9d07ce0dc3783136,0,0
83e78559ac8d4f4b99cccff09bbf8745,0,1
6790f37e19b8463e860d2d2d63078206,0,0
be05d126dd31445989e3e31442891f76,0,0
ea55034969d24c1589eac2981ade13be,0,0
4fb20c4cfc5846f3ba9b12d4cf144445,0,0
8323328fcd814d7c9822449224eea815,0,0
3f836e031cde4159bf260babe3a0810e,0,0
d449cf83c9bc4238ac8d104fdcaa3f9c,0,0
00ee738403dc4b4f98300d110ad7e8ef,0,0
40a97e8fc0dd4a0d9feb267a47859c26,0,0
f3c7463dfd174c61b13895df76b95226,0,1
092816be84bf4254843d126aa1b0993d,0,1
f68b1a74a43d4002a298e1a66ce9aced,0,0
c87566e8fa8147e4bc1705cd40f55860,0,1
5d722e49c3f544658f78a9c3d8abab58,0,1
42709dd80b484c468132f9a4d750edaa,0,1
223b1c3dc0fe4503ac06c5dd0ee0b4a3,0,0
69243a5f498548d5ad4165cc4f027586,0,0
2dc2ff98a55e4c90a2f72fb5855af71b,0,0
d71e226b3fe341fc9633a941810acbb7,0,1
8bd0e349b467479795034dc2fba1127a,0,0
cf42f06b525149b282058786003a37d9,0,0
74888d1775e644d9b4463230abdb766a,0,0
80a71ad9d3614ebd8b633205473290b4,0,0
6d1cbfafcf614d26b1b20f259192c934,0,0
54afd27aa4b449b683de0d96af88ea3a,0,0
39c8644727304dcf9d77b43666ba95ee,0,0
0cdfbaf24bbe40b2a548ddb4c8e1f18b,0,0
26d2f1734e744461bfa3f16a813449fd,0,0
6063d92db6044e9eaab18749cd3b5f8e,0,0
995b6a00ea55414a9b227db08cf72044,0,1
850584cef5b94d6aae40b73621e8b982,0,0
5ba9e0797b8f4bab975f7aa264836d76,0,1
889c3a7c58c3477995ca63eb2b20dcec,0,1
7a0ce512f063406eb398820082901817,0,0
92d5940e9f0d4263acc6fe0aa738c615,0,0
4b50221851524306a2247260b1890955,0,0
4915513278124f4385b642c172e8692d,0,1
309118d15e3b41a0b84f4245b2b86f2c,0,0
28944bf0cc1647078e1a8abbbf61dcde,0,0
b8b5b2ae661943e981cb914ba6c09ca6,0,0
71df2d40b25843c9a367e3be97f07d56,0,0
d778714c74784731b2a63df6db1707f2,0,0
f8c1abd0e7e44ce291ee19171b0af5a5,0,0
e86c854090be4882aa16d9dd65e3669e,0,0
d25551a6668f44a387f2bf402bcc9112,0,0
097b85806a7847439bbf81cc6b25ba4d,0,0
60f38af6c20f4aa8a1fb847f78c97546,0,0
9f8bc0e64d7046fe8932c0f356c74142,0,0
f676d51baa8b46e0b0c890877e8aaa32,0,0
964c0bd9dda24e1c9428ca956fe65339,0,0
250f366d14b641f1a959c097eceb823e,0,0
33cb0b05788e4b3993775a74f99a5f0c,0,0
b49c81e409c741c79c7aab09ad66b7c8,0,0
3084e63d99704672810a890d1863bb61,0,0
527c4059e9d743ad88a2d4556b640146,0,0
4a9bc8992a6b4b5981ee6658f1f59532,0,1
cea4f53ff1764699823dac24762dbe53,0,0
fa3086acfbf14fa2b156fff3dc4b8c53,0,0
dcfa9e9941bf41fcae96959f7035a9b5,0,0
c145c4ed05a543b29c4173872907f03d,0,0
598b4afffae44f37b6da28efdab98d31,0,1
6271e7d5b484465c9c6e22fdd0deff36,0,0
27ad31421379429babd533c6c45559e0,0,0
cf5487b507624aea9adf51cd2f653480,0,0
9bc5ec0c3d004bf084bd32478fd8a531,0,0
8831faafa7554f18b9432196bf54e556,0,0
74a03141a7ad40a2a66369026de4a00c,0,0
01d09fb03a5f4e52a510494186ad8c8b,0,1
18de475e9bb145c88a1de9c45ec5e89c,0,0
0f4c347ed3fe4553b1af96228800f5f8,0,0
147122b1d5f8461ebc404ffbd1c121fe,0,0
7fa9758fb34b435082b187441d6c7dd0,0,1
af3522cbe9a44ed7a2a22645a63aebf1,0,0
5a0ad10b05614fe78b06458ccaf33bbe,0,0
b717b0ee766d477fa52621e9b3f0cd9b,0,0
37c8ad7d57ff4163b81f9f593ed39184,0,0
56b1099d0b7541c2a9b8bb16fa10ba4a,0,0
57fb32830f2d4091b63fb788dafb749a,0,0
3e7ef0e97bb94802bf673514e01a8973,0,0
9d0dbfa6abcc455c8d65121aefd35a14,0,0
952030c9759a40ac873a4daecf4c2206,0,1
e0f3ed8d730f4be496eba87d6aa9e8a2,0,0
4a44ecb148d748739680c2d174280e92,0,1
e06ad69b560c470db86b11d6a8804fd5,0,0
90d632c5f5ac42969f99166953edbabb,0,0
e128e4da0f484fc8942c8a4b5a771239,0,0
f63cb8ba79c04a58b99eabfd692f1172,0,0
0af08679849c41198a46ef1d4f3736e3,0,0
306efc08e4f2446c94404f47dd76f990,0,1
04b0c81b6d474037a102d7070ca94c25,0,0
8c7e2f1c39d64464ba96ad2f38e00340,0,1
e7f36b1c47cc4591a314ec1d116cbfa4,0,0
f09861b50d084550a92f5eee31a58876,0,0
91064cadf577475c9644c3763418f506,0,0
ff7b05efe03444e88ecb6d708f128250,0,0
4586d3d5e3064c359158ea1ca5921f66,0,1
af6539d0816d41f8a71fd30cc115fb1d,0,0
f8f52534e54242a690c4481f362320cf,0,0
1078c684d6fe43389cc8e6a6113ef42b,0,1
0cde1ee48006451c8f7ea3b6d7a0cac2,0,0
2a24745d5fe44050bb8bf7354d2ae0fc,0,0
6d20a0ca478b45fe8da6be3638d153aa,0,1
ffaae6fbca6d4d2aa5f2d5c42dae18fa,0,0
70b61922be984c889a2d441f5bfd52e1,0,0
1b7dd6a9f3084b3cb3df3f0d71610ebc,0,0
47c8255c71184ad28f571ee19f2983c9,0,0
1148b7b4129e49a7aa42251311c80ce4,0,0
0cbb7e7a6f0743f2a1cd54c37aab6045,0,0
1f5e3e2703364e68ad7f499fcfbaa661,0,0
3fa821b36684492ea40bf6bb9a8f73e9,0,0
fb73c25540ee4f0a82f123b5e0eed65d,0,0
c12a0f59d6ef4807bf92182977413e87,0,0
f3c960081f4243f8b4351a836404ab8e,0,0
73f117420eec4895b98469d5014d41b7,0,0
4fc54ea3b695439190670daaa7eb24b5,0,1
0e99ac5eb2c04bada959c460ab611a7c,0,0
db3394372c5f4f21ba07d240055c8d91,0,0
7213b83d707049fc9f0539394bebc2da,0,1
0d6cad6ce31c4ff1ace59acb6fa43215,0,0
569d1d2fc8a640de8170b270a73692c9,0,0
83aa23837cce44619dd9cebd65e5b62d,0,0
610ebb602dc245ebbd0dace2da5b56c8,0,0
1e71917fc7ae4848b598f73e17d6a48a,0,1
b62a38ea330b4513a0fc80ecb2fe9d08,0,0
954d65edfe1f4a05bca87f9b8e5af431,0,0
ecb74285229d4da482337afc23264076,0,1
46b0eaac840845349e24ba15557b16bb,0,0
8aa91c14f2db4c2a8b5a12c209066a1b,0,0
49199f137ff64dd5af4b968bb455a2e2,0,0
1bffabaa2fd64529b756df8eb9138211,0,0
02dc01acba984ccababd75c0bce1a2b2,0,0
2634bba2afcc435098a148006635ea97,0,0
50e618d1fee74b7ca2ddddf3e257429f,0,0
987fc7b11d634f2e9cf6ea2be2f232e7,0,0
1ec8720c26b24f9c84f02786afcbef8a,0,0
73a0cc86b70d45a8be040727650562f6,0,0
72f17d77c0c64ac7958e64935cbef571,0,0
0c5cb9ba84444aba99a59c6c03ef8c6a,0,1
96fcbd8178f545a29e533059432f8b60,0,0
6c7845e97ecb4eb890f9721b8a1723b4,0,1
68d2b11017ed405f8d5a0b9e37a2bba8,0,0
29577c427e3440ba81a9ff18c7937216,0,1
f6468f5002e14b499737c86c820a3e47,0,0
63ccb5f4b32247089ee0f991226e349f,0,0
4ee8f6be684a419581574fa23752e1ee,0,0
53804bb263b04f2890d682600847e942,0,1
6a7327ed2ddf412993d80f7d52457c05,0,0
